userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
45eec2e103d14fbd5842301bd6803,3853770484,120,331,0.67,68.9,2.06,54.23,8.28,14.88,2841810,31519,15316,525,237,4769,5547,4690,13782,294,31,27600,5745,254,832.38,37
c40079e68475af4956a67bebd0c28,778915198,60,613,1.01,46.67,0.92,32.18,13.81,18.51,345900,5651,6341,119,136,621,316,1046,1875,841,70,60,381,192,577.55,21
58eca01fccd5833d5d7439f9cf7c7,2008310885,16,254,0.27,37.74,0.47,61.03,6.45,17.28,91196,405,869,20,33,44,46,70,413,129,74,26,62,143,166.22,6
f19050443becb083e890de5bf7ec7,2360568527,129,354,0.43,49.48,1.86,23.98,16.5,12.31,3773240,27204,14607,946,966,2011,2152,3348,11759,1399,5414,4880,3591,296,1113.42,40
7b5d2d7c0403fa39c0d969ee2095e,83105699,63,626,0.72,47.47,1.25,34.22,14.9,18.56,374501,4493,3590,94,104,381,346,834,1949,0,35,302,340,200,472.4,14
0e756f50ff23f6fc48494431493d8,3704847775,1,89,0.28,25.0,0.34,20.0,8.84,8.33,5247,24,70,1,3,2,2,2,0,0,0,0,5,85,25.46,3
a3f02eb98e9d338034807243ad55d,2370199361,49,493,0.43,58.0,0.65,46.81,14.66,18.74,313009,2231,3448,87,63,234,213,418,79,16,67,483,258,161,322.12,9
9cdd9ccc5fe525bf6644945355dea,410278436,13,211,0.22,55.26,0.39,40.62,4.66,23.29,78530,292,751,21,17,32,23,68,788,171,9,13,47,110,248.03,7
6d3c30da74697f72d12199be381a1,1001084538,0,7,0.0,0.0,0.0,100.0,14.29,0.0,540,0,1,0,0,0,0,0,0,0,0,0,0,76,0.0,0
6fc1b860dfb08e2a2b0a1ffd04dbf,4147464997,23,345,0.61,29.58,0.85,23.66,6.75,16.96,122921,1244,1464,21,50,134,119,211,89,35,0,589,124,181,601.02,9
ed19764d99fec4735c17ec02838a2,1547248341,44,688,0.7,46.36,1.02,35.29,11.3,23.49,187086,2192,2146,51,59,313,309,515,1687,636,12,498,309,258,389.31,12
5a9c403e36a505127e335296d7694,1894504956,18,338,0.57,60.0,0.9,24.66,9.96,15.94,82520,778,866,33,22,88,75,124,81,161,100,5,85,222,182.63,10
2b730d488a32e6a9032a003f4cee4,3831912337,88,1058,0.59,44.68,1.06,15.32,12.8,12.93,387013,3812,3584,126,156,411,272,493,924,148,133,2990,350,263,319.35,25
